,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total,region,year,gender
0,924706,980928,940648,430140,188377,3464799,Auvergne-Rhône-Alpes,2002,male
1,346292,359365,369787,180637,85288,1341369,Bourgogne-Franche-Comté,2002,male
2,378901,399448,387586,194917,86372,1447224,Bretagne,2002,male
3,311880,319996,330302,161616,81084,1204878,Centre-Val-de-Loire,2002,male
4,31667,34516,37906,20616,8743,133448,Corse,2002,male
5,711760,765534,728228,325409,123997,2654928,Grand Est,2002,male
6,848201,819338,753853,303331,128694,2853417,Hauts-de-France,2002,male
7,1491376,1712714,1462639,528483,213904,5409116,Île-de-France,2002,male
8,435882,428703,425548,191632,85292,1567057,Normandie,2002,male
9,624157,683948,718918,380865,192734,2600622,Nouvelle-Aquitaine,2002,male
10,598201,652670,657412,348670,175242,2432195,Occitanie,2002,male
11,440634,451573,428029,201355,93857,1615448,Pays de la Loire,2002,male
12,569720,583537,597864,312401,150981,2214503,Provence-Alpes-Côte d'Azur,2002,male
13,7713377,8192270,7838720,3580072,1614565,28939004,France métropolitaine,2002,male
14,64003,52629,44887,17499,7809,186827,Guadeloupe ,2002,male
15,58936,50940,45354,19756,8163,183149,Martinique ,2002,male
16,40175,25627,17724,3647,1199,88372,Guyane,2002,male
17,138131,112496,79038,24893,7423,361981,La Réunion,2002,male
18,301245,241692,187003,65795,24594,820329,DOM,2002,male
19,8014622,8433962,8025723,3645867,1639159,29759333,France métropolitaine et DOM,2002,male
20,928439,981192,955020,433191,194397,3492239,Auvergne-Rhône-Alpes,2003,male
21,344381,356813,374686,179853,88208,1343941,Bourgogne-Franche-Comté,2003,male
22,380473,399096,397156,193732,90114,1460571,Bretagne,2003,male
23,311265,318621,335419,161024,83405,1209734,Centre-Val-de-Loire,2003,male
24,31849,34928,38756,21094,9120,135747,Corse,2003,male
25,707265,760356,739102,324931,129118,2660772,Grand Est,2003,male
26,841699,815029,765801,298850,133470,2854849,Hauts-de-France,2003,male
27,1501201,1715858,1477787,533204,220474,5448524,Île-de-France,2003,male
28,432970,425270,432114,190591,88851,1569796,Normandie,2003,male
29,626735,682617,733709,380243,198411,2621715,Nouvelle-Aquitaine,2003,male
30,605954,654483,673355,350504,179555,2463851,Occitanie,2003,male
31,442168,452152,438192,200853,97893,1631258,Pays de la Loire,2003,male
32,573601,583116,606661,315981,155455,2234814,Provence-Alpes-Côte d'Azur,2003,male
33,7728000,8179531,7967758,3584051,1668471,29127811,France métropolitaine,2003,male
34,63762,50878,46446,17911,8154,187151,Guadeloupe ,2003,male
35,58691,49464,47121,20118,8341,183735,Martinique ,2003,male
36,41871,26607,18695,3843,1257,92273,Guyane,2003,male
37,138909,111490,82165,25909,7901,366374,La Réunion,2003,male
38,303233,238439,194427,67781,25653,829533,DOM,2003,male
39,8031233,8417970,8162185,3651832,1694124,29957344,France métropolitaine et DOM,2003,male
40,935647,976914,969438,437392,200492,3519883,Auvergne-Rhône-Alpes,2004,male
41,343737,352363,379797,179673,90821,1346391,Bourgogne-Franche-Comté,2004,male
42,383873,397023,405691,193758,93880,1474225,Bretagne,2004,male
43,312000,315828,339554,161329,85456,1214167,Centre-Val-de-Loire,2004,male
44,31962,35308,39724,21525,9535,138054,Corse,2004,male
45,705080,751778,751632,323543,134037,2666070,Grand Est,2004,male
46,838391,806338,776695,296242,138264,2855930,Hauts-de-France,2004,male
47,1512821,1714402,1493359,539546,225690,5485818,Île-de-France,2004,male
48,431592,419545,438313,191048,91993,1572491,Normandie,2004,male
49,631081,678869,746913,381474,203900,2642237,Nouvelle-Aquitaine,2004,male
50,615251,653744,688165,354323,184293,2495776,Occitanie,2004,male
51,445642,450777,447611,201599,101210,1646839,Pays de la Loire,2004,male
52,578499,580791,615579,320180,159742,2254791,Provence-Alpes-Côte d'Azur,2004,male
53,7765576,8133680,8092471,3601632,1719313,29312672,France métropolitaine,2004,male
54,63484,49261,48032,18334,8492,187603,Guadeloupe ,2004,male
55,58427,48041,48748,20557,8530,184303,Martinique ,2004,male
56,43840,27438,19597,4079,1346,96300,Guyane,2004,male
57,139757,110134,85995,26789,8380,371055,La Réunion,2004,male
58,305508,234874,202372,69759,26748,839261,DOM,2004,male
59,8071084,8368554,8294843,3671391,1746061,30151933,France métropolitaine et DOM,2004,male
60,941954,972732,984029,442771,207725,3549211,Auvergne-Rhône-Alpes,2005,male
61,342906,348352,384326,180330,93611,1349525,Bourgogne-Franche-Comté,2005,male
62,386924,395114,414793,194111,97548,1488490,Bretagne,2005,male
63,312463,313390,343685,161969,88022,1219529,Centre-Val-de-Loire,2005,male
64,32175,35442,40829,21917,10084,140447,Corse,2005,male
65,701776,744060,764678,322365,139744,2672623,Grand Est,2005,male
66,834032,799577,786133,295318,143808,2858868,Hauts-de-France,2005,male
67,1523903,1714639,1507668,547595,233402,5527207,Île-de-France,2005,male
68,429766,414913,443766,191603,95626,1575674,Normandie,2005,male
69,635661,674782,761512,383258,210261,2665474,Nouvelle-Aquitaine,2005,male
70,624624,653111,704175,357857,190088,2529855,Occitanie,2005,male
71,449120,449521,457451,202601,104997,1663690,Pays de la Loire,2005,male
72,583351,578670,625032,324893,164822,2276768,Provence-Alpes-Côte d'Azur,2005,male
73,7798655,8094303,8218077,3626588,1779738,29517361,France métropolitaine,2005,male
74,63488,47599,49270,18994,8807,188158,Guadeloupe ,2005,male
75,58068,46800,50041,21150,8782,184841,Martinique ,2005,male
76,45094,28028,20349,4319,1433,99223,Guyane,2005,male
77,140360,109192,89874,27756,8827,376009,La Réunion,2005,male
78,307010,231619,209534,72219,27849,848231,DOM,2005,male
79,8105665,8325922,8427611,3698807,1807587,30365592,France métropolitaine et DOM,2005,male
80,942316,972966,995733,447423,219242,3577680,Auvergne-Rhône-Alpes,2006,male
81,342762,345128,388798,181118,96153,1353959,Bourgogne-Franche-Comté,2006,male
82,388002,395815,423574,194000,99903,1501294,Bretagne,2006,male
83,313046,311260,348058,161737,90083,1224184,Centre-Val-de-Loire,2006,male
84,32862,35630,41762,22135,10695,143084,Corse,2006,male
85,697214,737346,773360,322187,147873,2677980,Grand Est,2006,male
86,827173,793442,796815,299803,143842,2861075,Hauts-de-France,2006,male
87,1532898,1721270,1520851,554267,240955,5570241,Île-de-France,2006,male
88,427348,411666,450191,191803,98329,1579337,Normandie,2006,male
89,640728,672451,774170,380466,218780,2686595,Nouvelle-Aquitaine,2006,male
90,631159,657057,717558,357166,199794,2562734,Occitanie,2006,male
91,453665,449748,466184,202806,108182,1680585,Pays de la Loire,2006,male
92,585627,579424,631977,327928,170707,2295663,Provence-Alpes-Côte d'Azur,2006,male
93,7814800,8083203,8329031,3642839,1844538,29714411,France métropolitaine,2006,male
94,63601,45987,50457,20181,8546,188772,Guadeloupe ,2006,male
95,58288,45310,50911,21815,9295,185619,Martinique ,2006,male
96,46744,28661,20826,4544,1257,102032,Guyane,2006,male
97,140283,107900,93844,28488,8695,379210,La Réunion,2006,male
98,308916,227858,216038,75028,27793,855633,DOM,2006,male
99,8123716,8311061,8545069,3717867,1872331,30570044,France métropolitaine et DOM,2006,male
100,946106,968266,999635,460030,226723,3600760,Auvergne-Rhône-Alpes,2007,male
101,343265,343000,388984,186685,98993,1360927,Bourgogne-Franche-Comté,2007,male
102,391673,392687,426878,199993,103440,1514671,Bretagne,2007,male
103,312587,309220,347977,166247,91980,1228011,Centre-Val-de-Loire,2007,male
104,32859,36436,42380,22826,11134,145635,Corse,2007,male
105,693412,731643,776846,330449,154360,2686710,Grand Est,2007,male
106,821823,792008,795384,310132,148487,2867834,Hauts-de-France,2007,male
107,1541012,1718376,1520894,573647,248482,5602411,Île-de-France,2007,male
108,426324,409349,450565,197874,101345,1585457,Normandie,2007,male
109,645555,672449,778862,391476,224834,2713176,Nouvelle-Aquitaine,2007,male
110,637846,658042,724763,367284,205542,2593477,Occitanie,2007,male
111,456938,449501,469689,209215,111804,1697147,Pays de la Loire,2007,male
112,589462,580350,638195,337649,175706,2321362,Provence-Alpes-Côte d'Azur,2007,male
113,7838862,8061327,8361052,3753507,1902830,29917578,France métropolitaine,2007,male
114,63118,44730,51025,20686,8766,188325,Guadeloupe ,2007,male
115,57391,44191,51680,22116,9592,184970,Martinique ,2007,male
116,47623,30538,21381,4720,1284,105546,Guyane,2007,male
117,141874,107793,97687,29243,8738,385335,La Réunion,2007,male
118,310006,227252,221773,76765,28380,864176,DOM,2007,male
119,8148868,8288579,8582825,3830272,1931210,30781754,France métropolitaine et DOM,2007,male
120,950173,966520,1001432,476479,233769,3628373,Auvergne-Rhône-Alpes,2008,male
121,343257,340497,386903,193131,101725,1365513,Bourgogne-Franche-Comté,2008,male
122,393983,392828,428901,207408,106348,1529468,Bretagne,2008,male
123,311134,306722,347094,171048,94642,1230640,Centre-Val-de-Loire,2008,male
124,32629,36628,43291,23668,11616,147832,Corse,2008,male
125,691107,725125,777576,339782,159631,2693221,Grand Est,2008,male
126,818196,791041,791976,320619,150606,2872438,Hauts-de-France,2008,male
127,1544247,1714616,1518008,595365,259149,5631385,Île-de-France,2008,male
128,425804,406673,449869,205081,104320,1591747,Normandie,2008,male
129,649040,669794,778512,405220,230335,2732901,Nouvelle-Aquitaine,2008,male
130,642408,659073,727296,378538,211872,2619187,Occitanie,2008,male
131,459550,448122,469779,217292,115564,1710307,Pays de la Loire,2008,male
132,588675,576934,638108,346655,181363,2331735,Provence-Alpes-Côte d'Azur,2008,male
133,7850203,8034573,8358745,3880286,1960940,30084747,France métropolitaine,2008,male
134,62866,43428,51583,21311,9201,188389,Guadeloupe ,2008,male
135,56042,42924,52617,22942,9912,184437,Martinique ,2008,male
136,49041,31065,22178,5039,1350,108673,Guyane,2008,male
137,143232,107767,100891,31137,9014,392041,La Réunion,2008,male
138,311181,225184,227269,80429,29477,873540,DOM,2008,male
139,8161384,8259757,8586014,3960715,1990417,30958287,France métropolitaine et DOM,2008,male
140,956040,966067,1003733,491818,240458,3658116,Auvergne-Rhône-Alpes,2009,male
141,343069,338115,384491,200497,103665,1369837,Bourgogne-Franche-Comté,2009,male
142,397154,390729,429027,215412,109036,1541358,Bretagne,2009,male
143,312362,303438,344921,176631,96454,1233806,Centre-Val-de-Loire,2009,male
144,32635,37235,43439,24393,11812,149514,Corse,2009,male
145,687643,719535,775193,351803,163544,2697718,Grand Est,2009,male
146,815948,788518,788362,333944,153246,2880018,Hauts-de-France,2009,male
147,1547605,1715425,1516081,616995,265665,5661771,Île-de-France,2009,male
148,424858,403951,448377,212751,107248,1597185,Normandie,2009,male
149,652415,666010,777536,419569,236088,2751618,Nouvelle-Aquitaine,2009,male
150,647842,659567,730742,391247,216901,2646299,Occitanie,2009,male
151,462113,447592,469879,225935,119120,1724639,Pays de la Loire,2009,male
152,584414,573663,636208,354898,186372,2335555,Provence-Alpes-Côte d'Azur,2009,male
153,7864098,8009845,8347989,4015893,2009609,30247434,France métropolitaine,2009,male
154,61891,41915,52453,22140,9468,187867,Guadeloupe ,2009,male
155,54973,41471,53091,23748,10372,183655,Martinique ,2009,male
156,50651,31046,22754,5333,1417,111201,Guyane,2009,male
157,142580,107599,103565,32516,9428,395688,La Réunion,2009,male
158,310095,222031,231863,83737,30685,878411,DOM,2009,male
159,8174193,8231876,8579852,4099630,2040294,31125845,France métropolitaine et DOM,2009,male
160,963054,963939,1008065,507106,246799,3688963,Auvergne-Rhône-Alpes,2010,male
161,341804,335179,382673,206355,105644,1371655,Bourgogne-Franche-Comté,2010,male
162,398753,388339,430247,222930,112979,1553248,Bretagne,2010,male
163,313943,299240,344095,182533,98862,1238673,Centre-Val-de-Loire,2010,male
164,33728,37357,43804,24786,11958,151633,Corse,2010,male
165,683063,712723,771668,363169,168351,2698974,Grand Est,2010,male
166,815216,782567,784532,346051,156020,2884386,Hauts-de-France,2010,male
167,1555858,1712418,1515473,634226,273259,5691234,Île-de-France,2010,male
168,422934,401484,446706,219978,109930,1601032,Normandie,2010,male
169,655557,663675,776595,432539,241260,2769626,Nouvelle-Aquitaine,2010,male
170,651525,659216,731786,403323,222175,2668025,Occitanie,2010,male
171,465782,445388,471839,233805,123050,1739864,Pays de la Loire,2010,male
172,581392,572121,635040,361966,190118,2340637,Provence-Alpes-Côte d'Azur,2010,male
173,7882609,7973646,8342523,4138767,2060405,30397950,France métropolitaine,2010,male
174,60830,40968,53018,23059,10037,187912,Guadeloupe ,2010,male
175,53523,39945,53444,24367,10831,182110,Martinique ,2010,male
176,51602,31336,23455,5678,1536,113607,Guyane,2010,male
177,142322,106232,106049,33732,9618,397953,La Réunion,2010,male
178,308277,218481,235966,86836,32022,881582,DOM,2010,male
179,8190886,8192127,8578489,4225603,2092427,31279532,France métropolitaine et DOM,2010,male
180,966480,964095,1010208,522490,252859,3716132,Auvergne-Rhône-Alpes,2011,male
181,340699,330867,380955,212934,107381,1372836,Bourgogne-Franche-Comté,2011,male
182,399979,385621,431952,230488,115301,1563341,Bretagne,2011,male
183,314707,295460,343153,188014,100724,1242058,Centre-Val-de-Loire,2011,male
184,33966,37600,44055,25924,12530,154075,Corse,2011,male
185,681467,705903,767746,375543,172376,2703035,Grand Est,2011,male
186,812607,775544,781855,359566,158663,2888235,Hauts-de-France,2011,male
187,1563721,1707551,1519793,654174,280252,5725491,Île-de-France,2011,male
188,422017,396768,444651,228124,112360,1603920,Normandie,2011,male
189,657211,659192,776428,445656,245383,2783870,Nouvelle-Aquitaine,2011,male
190,657995,659377,735744,416398,226254,2695768,Occitanie,2011,male
191,469575,442726,473385,242117,126351,1754154,Pays de la Loire,2011,male
192,581242,571107,634961,370293,193110,2350713,Provence-Alpes-Côte d'Azur,2011,male
193,7901666,7931811,8344886,4271721,2103544,30553628,France métropolitaine,2011,male
194,59401,40060,53628,24236,10457,187782,Guadeloupe ,2011,male
195,51780,38296,53842,25078,11680,180676,Martinique ,2011,male
196,53214,32107,24630,6170,1611,117732,Guyane,2011,male
197,140564,106143,108302,35724,10406,401139,La Réunion,2011,male
198,304959,216606,240402,91208,34154,887329,DOM,2011,male
199,8206625,8148417,8585288,4362929,2137698,31440957,France métropolitaine et DOM,2011,male
200,972109,961515,1017948,535788,258183,3745543,Auvergne-Rhône-Alpes,2012,male
201,338197,326898,380385,218433,109113,1373026,Bourgogne-Franche-Comté,2012,male
202,400595,381708,433913,237588,119293,1573097,Bretagne,2012,male
203,314120,291689,343475,193106,102444,1244834,Centre-Val-de-Loire,2012,male
204,33978,37686,44019,26281,12804,154768,Corse,2012,male
205,677762,696507,768409,386584,177324,2706586,Grand Est,2012,male
206,809000,767113,783096,372881,163157,2895247,Hauts-de-France,2012,male
207,1568454,1698577,1529170,666472,283989,5746662,Île-de-France,2012,male
208,420477,391551,444764,235775,114942,1607509,Normandie,2012,male
209,657883,654859,780339,457284,249956,2800321,Nouvelle-Aquitaine,2012,male
210,661698,658313,742112,428232,230823,2721178,Occitanie,2012,male
211,472678,440500,477471,250062,129066,1769777,Pays de la Loire,2012,male
212,581392,568392,637073,377731,196034,2360622,Provence-Alpes-Côte d'Azur,2012,male
213,7908343,7875308,8382174,4386217,2147128,30699170,France métropolitaine,2012,male
214,58237,39115,53912,25070,10704,187038,Guadeloupe ,2012,male
215,50482,36892,53894,25419,12137,178824,Martinique ,2012,male
216,52514,34009,24896,6518,1601,119538,Guyane,2012,male
217,139210,104954,110727,37357,11256,403504,La Réunion,2012,male
218,300443,214970,243429,94364,35698,888904,DOM,2012,male
219,8208786,8090278,8625603,4480581,2182826,31588074,France métropolitaine et DOM,2012,male
220,979659,958379,1027286,548909,263100,3777333,Auvergne-Rhône-Alpes,2013,male
221,338733,321890,379194,224129,110671,1374617,Bourgogne-Franche-Comté,2013,male
222,401755,379216,436282,244538,122281,1584072,Bretagne,2013,male
223,314931,287666,343857,198083,103639,1248176,Centre-Val-de-Loire,2013,male
224,34004,37750,44562,26734,13215,156265,Corse,2013,male
225,675895,687757,766137,397375,181580,2708744,Grand Est,2013,male
226,809437,759100,784359,384818,165177,2902891,Hauts-de-France,2013,male
227,1575965,1688427,1541486,682826,290633,5779337,Île-de-France,2013,male
228,420661,385955,444066,243630,116725,1611037,Normandie,2013,male
229,663074,648599,784181,470812,252863,2819529,Nouvelle-Aquitaine,2013,male
230,666735,656690,748254,442126,234463,2748268,Occitanie,2013,male
231,476639,437251,479880,258885,131721,1784376,Pays de la Loire,2013,male
232,582420,563858,641393,385162,198531,2371364,Provence-Alpes-Côte d'Azur,2013,male
233,7939908,7812538,8420937,4508027,2184599,30866009,France métropolitaine,2013,male
234,56808,37908,54439,26037,10885,186077,Guadeloupe ,2013,male
235,49379,35752,54090,26173,12561,177955,Martinique ,2013,male
236,53474,33985,25563,6990,1641,121653,Guyane,2013,male
237,137391,103259,112191,38999,11891,403731,La Réunion,2013,male
238,297052,210904,246283,98199,36978,889416,DOM,2013,male
239,8236960,8023442,8667220,4606226,2221577,31755425,France métropolitaine et DOM,2013,male
240,987520,952842,1035050,563083,268850,3807345,Auvergne-Rhône-Alpes,2014,male
241,338419,316414,378466,229048,112900,1375247,Bourgogne-Franche-Comté,2014,male
242,404493,372958,438799,251943,124617,1592810,Bretagne,2014,male
243,316044,283461,343864,202542,105337,1251248,Centre-Val-de-Loire,2014,male
244,34047,37721,44994,27528,13672,157962,Corse,2014,male
245,673625,679837,763218,407208,185770,2709658,Grand Est,2014,male
246,814070,752212,785731,395103,166988,2914104,Hauts-de-France,2014,male
247,1581715,1677874,1555256,698283,297060,5810188,Île-de-France,2014,male
248,421547,380873,443105,250859,118339,1614723,Normandie,2014,male
249,669567,641448,786579,483160,255576,2836330,Nouvelle-Aquitaine,2014,male
250,672547,654822,752111,453809,237176,2770465,Occitanie,2014,male
251,480786,433735,483383,266155,134528,1798587,Pays de la Loire,2014,male
252,582969,559403,645821,394842,203222,2386257,Provence-Alpes-Côte d'Azur,2014,male
253,7977349,7743600,8456377,4623563,2224035,31024924,France métropolitaine,2014,male
254,56294,36478,54120,26529,11251,184672,Guadeloupe ,2014,male
255,48444,34844,54208,27045,12961,177502,Martinique ,2014,male
256,55089,34315,26723,7395,1667,125189,Guyane,2014,male
257,138101,102223,113297,41099,12587,407307,La Réunion,2014,male
258,60648,26184,16891,3830,980,108533,Mayotte,2014,male
259,358576,234044,265239,105898,39446,1003203,DOM,2014,male
260,8335925,7977644,8721616,4729461,2263481,32028127,France métropolitaine et DOM,2014,male
261,994981,949489,1037705,575908,274898,3832981,Auvergne-Rhône-Alpes,2015,male
262,338678,311258,375277,234368,114865,1374446,Bourgogne-Franche-Comté,2015,male
263,406726,368626,439638,258701,127516,1601207,Bretagne,2015,male
264,315610,279225,342442,206915,106895,1251087,Centre-Val-de-Loire,2015,male
265,34945,36929,44994,28326,14232,159426,Corse,2015,male
266,671950,672558,757461,418365,190542,2710876,Grand Est,2015,male
267,813669,741174,782724,406835,169804,2914206,Hauts-de-France,2015,male
268,1592225,1667316,1560368,711494,303560,5834963,Île-de-France,2015,male
269,420227,376810,439938,258312,120671,1615958,Normandie,2015,male
270,671882,637498,786087,496191,258829,2850487,Nouvelle-Aquitaine,2015,male
271,676640,655262,752573,466426,241014,2791915,Occitanie,2015,male
272,484163,430738,485094,274238,137250,1811483,Pays de la Loire,2015,male
273,585060,558331,645657,402499,206804,2398351,Provence-Alpes-Côte d'Azur,2015,male
274,8006756,7685214,8449958,4738578,2266880,31147386,France métropolitaine,2015,male
275,54796,35299,54321,27175,11619,183210,Guadeloupe ,2015,male
276,47397,34085,53463,27908,13224,176077,Martinique ,2015,male
277,56262,35052,27781,8068,1719,128882,Guyane,2015,male
278,138820,101181,114045,43653,13063,410762,La Réunion,2015,male
279,61714,25938,17878,4127,1009,110666,Mayotte,2015,male
280,358989,231555,267488,110931,40634,1009597,DOM,2015,male
281,8365745,7916769,8717446,4849509,2307514,32156983,France métropolitaine et DOM,2015,male
282,996853,949189,1037421,589812,277965,3851240,Auvergne-Rhône-Alpes,2016,male
283,337115,309563,371249,239032,115833,1372792,Bourgogne-Franche-Comté,2016,male
284,405377,366919,438870,266317,128511,1605994,Bretagne,2016,male
285,314816,276480,339898,211953,107041,1250188,Centre-Val-de-Loire,2016,male
286,35004,36869,45340,28821,14765,160799,Corse,2016,male
287,669817,665503,750494,429903,192807,2708524,Grand Est,2016,male
288,809906,736338,777050,418528,170610,2912432,Hauts-de-France,2016,male
289,1594653,1659763,1562578,724375,307716,5849085,Île-de-France,2016,male
290,418286,372657,435454,265398,121513,1613308,Normandie,2016,male
291,672198,636012,781522,511069,259385,2860186,Nouvelle-Aquitaine,2016,male
292,680638,654404,750935,479764,242008,2807749,Occitanie,2016,male
293,484696,428800,484719,283577,138641,1820433,Pays de la Loire,2016,male
294,585309,556482,642606,408445,210630,2403472,Provence-Alpes-Côte d'Azur,2016,male
295,8004668,7648979,8418136,4856994,2287425,31216202,France métropolitaine,2016,male
296,53336,34319,53520,28307,11842,181324,Guadeloupe ,2016,male
297,45457,32963,52732,28726,13607,173485,Martinique ,2016,male
298,57410,36581,29150,8661,1857,133659,Guyane,2016,male
299,137123,99201,114529,45724,13981,410558,La Réunion,2016,male
300,64053,26920,18556,4284,1046,114859,Mayotte,2016,male
301,357379,229984,268487,115702,42333,1013885,DOM,2016,male
302,8362047,7878963,8686623,4972696,2329758,32230087,France métropolitaine et DOM,2016,male
303,997234,948780,1034817,601808,282054,3864693,Auvergne-Rhône-Alpes,2017,male
304,333554,306898,366617,245381,116275,1368725,Bourgogne-Franche-Comté,2017,male
305,405187,365297,437323,276331,128288,1612426,Bretagne,2017,male
306,313708,275083,336334,216923,106869,1248917,Centre-Val-de-Loire,2017,male
307,35358,37044,45407,29956,15171,162936,Corse,2017,male
308,666571,662074,741151,441128,194794,2705718,Grand Est,2017,male
309,804406,733632,770589,433007,168943,2910577,Hauts-de-France,2017,male
310,1601393,1658932,1566796,736236,311208,5874565,Île-de-France,2017,male
311,413853,371371,429345,273352,122120,1610041,Normandie,2017,male
312,671543,635564,775760,525064,260897,2868828,Nouvelle-Aquitaine,2017,male
313,681110,656092,749622,492338,244574,2823736,Occitanie,2017,male
314,484333,428368,484381,293206,139389,1829677,Pays de la Loire,2017,male
315,584578,553042,638541,415436,214393,2405990,Provence-Alpes-Côte d'Azur,2017,male
316,7992828,7632177,8376683,4980166,2304975,31286829,France métropolitaine,2017,male
317,51225,33663,52118,29620,12379,179005,Guadeloupe ,2017,male
318,43803,31878,51280,30113,14160,171234,Martinique ,2017,male
319,57104,35225,28438,9237,2012,132016,Guyane,2017,male
320,134596,97174,114204,48283,14700,408957,La Réunion,2017,male
321,66487,27941,19261,4449,1081,119219,Mayotte,2017,male
322,353215,225881,265301,121702,44332,1010431,DOM,2017,male
323,8346043,7858058,8641984,5101868,2349307,32297260,France métropolitaine et DOM,2017,male
324,879616,976323,956493,499243,339470,3651145,Auvergne-Rhône-Alpes,2002,female
325,329396,351955,369865,208760,148547,1408523,Bourgogne-Franche-Comté,2002,female
326,359771,383920,389444,237809,163597,1534541,Bretagne,2002,female
327,298946,319217,332031,184091,133815,1268100,Centre-Val-de-Loire,2002,female
