,gender,year,region,total_women
0,female,2002,Auvergne-Rhône-Alpes,3651145
1,female,2002,Bourgogne-Franche-Comté,1408523
2,female,2002,Bretagne,1534541
3,female,2002,Centre-Val-de-Loire,1268100
4,female,2002,Corse,140645
5,female,2002,DOM,878842
6,female,2002,France métropolitaine,30746895
7,female,2002,France métropolitaine et DOM,31625737
8,female,2002,Grand Est,2777787
9,female,2002,Guadeloupe ,206197
10,female,2002,Guyane,88266
11,female,2002,Hauts-de-France,3026476
12,female,2002,La Réunion,378226
13,female,2002,Martinique ,206153
14,female,2002,Normandie,1664843
15,female,2002,Nouvelle-Aquitaine,2785686
16,female,2002,Occitanie,2598508
17,female,2002,Pays de la Loire,1699201
18,female,2002,Provence-Alpes-Côte d'Azur,2414993
19,female,2002,Île-de-France,5776447
20,female,2003,Auvergne-Rhône-Alpes,3681680
21,female,2003,Bourgogne-Franche-Comté,1412798
22,female,2003,Bretagne,1548678
23,female,2003,Centre-Val-de-Loire,1274554
24,female,2003,Corse,143280
25,female,2003,DOM,892656
26,female,2003,France métropolitaine,30974030
27,female,2003,France métropolitaine et DOM,31866686
28,female,2003,Grand Est,2785673
29,female,2003,Guadeloupe ,207730
30,female,2003,Guyane,92519
31,female,2003,Hauts-de-France,3032858
32,female,2003,La Réunion,384466
33,female,2003,Martinique ,207941
34,female,2003,Normandie,1671044
35,female,2003,Nouvelle-Aquitaine,2810030
36,female,2003,Occitanie,2635226
37,female,2003,Pays de la Loire,1716417
38,female,2003,Provence-Alpes-Côte d'Azur,2440242
39,female,2003,Île-de-France,5821550
40,female,2004,Auvergne-Rhône-Alpes,3711950
41,female,2004,Bourgogne-Franche-Comté,1416543
42,female,2004,Bretagne,1562852
43,female,2004,Centre-Val-de-Loire,1280112
44,female,2004,Corse,145918
45,female,2004,DOM,906380
46,female,2004,France métropolitaine,31192749
47,female,2004,France métropolitaine et DOM,32099129
48,female,2004,Grand Est,2792808
49,female,2004,Guadeloupe ,209389
50,female,2004,Guyane,96867
51,female,2004,Hauts-de-France,3038027
52,female,2004,La Réunion,390575
53,female,2004,Martinique ,209549
54,female,2004,Normandie,1676729
55,female,2004,Nouvelle-Aquitaine,2834276
56,female,2004,Occitanie,2671776
57,female,2004,Pays de la Loire,1732945
58,female,2004,Provence-Alpes-Côte d'Azur,2464341
59,female,2004,Île-de-France,5864472
60,female,2005,Auvergne-Rhône-Alpes,3746304
61,female,2005,Bourgogne-Franche-Comté,1422409
62,female,2005,Bretagne,1578095
63,female,2005,Centre-Val-de-Loire,1287717
64,female,2005,Corse,148645
65,female,2005,DOM,919042
66,female,2005,France métropolitaine,31445903
67,female,2005,France métropolitaine et DOM,32364945
68,female,2005,Grand Est,2802647
69,female,2005,Guadeloupe ,211020
70,female,2005,Guyane,99983
71,female,2005,Hauts-de-France,3045773
72,female,2005,La Réunion,396898
73,female,2005,Martinique ,211141
74,female,2005,Normandie,1683428
75,female,2005,Nouvelle-Aquitaine,2861516
76,female,2005,Occitanie,2710936
77,female,2005,Pays de la Loire,1751701
78,female,2005,Provence-Alpes-Côte d'Azur,2491796
79,female,2005,Île-de-France,5914936
80,female,2006,Auvergne-Rhône-Alpes,3779604
81,female,2006,Bourgogne-Franche-Comté,1425502
82,female,2006,Bretagne,1593240
83,female,2006,Centre-Val-de-Loire,1295383
84,female,2006,Corse,151034
85,female,2006,DOM,930751
86,female,2006,France métropolitaine,31685322
87,female,2006,France métropolitaine et DOM,32616073
88,female,2006,Grand Est,2812112
89,female,2006,Guadeloupe ,211964
90,female,2006,Guyane,103922
91,female,2006,Hauts-de-France,3051924
92,female,2006,La Réunion,402752
93,female,2006,Martinique ,212113
94,female,2006,Normandie,1688511
95,female,2006,Nouvelle-Aquitaine,2888226
96,female,2006,Occitanie,2748232
97,female,2006,Pays de la Loire,1769828
98,female,2006,Provence-Alpes-Côte d'Azur,2519569
99,female,2006,Île-de-France,5962157
100,female,2007,Auvergne-Rhône-Alpes,3804446
101,female,2007,Bourgogne-Franche-Comté,1431635
102,female,2007,Bretagne,1605617
103,female,2007,Centre-Val-de-Loire,1298908
104,female,2007,Corse,153574
105,female,2007,DOM,941276
106,female,2007,France métropolitaine,31877660
107,female,2007,France métropolitaine et DOM,32818936
108,female,2007,Grand Est,2819906
109,female,2007,Guadeloupe ,212259
110,female,2007,Guyane,107485
111,female,2007,Hauts-de-France,3054196
112,female,2007,La Réunion,408772
113,female,2007,Martinique ,212760
114,female,2007,Normandie,1692688
115,female,2007,Nouvelle-Aquitaine,2914495
116,female,2007,Occitanie,2777640
117,female,2007,Pays de la Loire,1785447
118,female,2007,Provence-Alpes-Côte d'Azur,2542653
119,female,2007,Île-de-France,5996455
120,female,2008,Auvergne-Rhône-Alpes,3830719
121,female,2008,Bourgogne-Franche-Comté,1437006
122,female,2008,Bretagne,1620233
123,female,2008,Centre-Val-de-Loire,1300948
124,female,2008,Corse,155134
125,female,2008,DOM,953453
126,female,2008,France métropolitaine,32050119
127,female,2008,France métropolitaine et DOM,33003572
128,female,2008,Grand Est,2828231
129,female,2008,Guadeloupe ,213395
130,female,2008,Guyane,110593
131,female,2008,Hauts-de-France,3058653
132,female,2008,La Réunion,416209
133,female,2008,Martinique ,213256
134,female,2008,Normandie,1701345
135,female,2008,Nouvelle-Aquitaine,2938175
136,female,2008,Occitanie,2800759
137,female,2008,Pays de la Loire,1799863
138,female,2008,Provence-Alpes-Côte d'Azur,2551178
139,female,2008,Île-de-France,6027875
140,female,2009,Auvergne-Rhône-Alpes,3859888
141,female,2009,Bourgogne-Franche-Comté,1440811
142,female,2009,Bretagne,1633706
143,female,2009,Centre-Val-de-Loire,1304784
144,female,2009,Corse,156160
145,female,2009,DOM,960380
146,female,2009,France métropolitaine,32218275
147,female,2009,France métropolitaine et DOM,33178655
148,female,2009,Grand Est,2833400
149,female,2009,Guadeloupe ,213687
150,female,2009,Guyane,113268
151,female,2009,Hauts-de-France,3064336
152,female,2009,La Réunion,420676
153,female,2009,Martinique ,212749
154,female,2009,Normandie,1706637
155,female,2009,Nouvelle-Aquitaine,2956879
156,female,2009,Occitanie,2827298
157,female,2009,Pays de la Loire,1814409
158,female,2009,Provence-Alpes-Côte d'Azur,2553498
159,female,2009,Île-de-France,6066469
160,female,2010,Auvergne-Rhône-Alpes,3889115
161,female,2010,Bourgogne-Franche-Comté,1442223
162,female,2010,Bretagne,1645818
163,female,2010,Centre-Val-de-Loire,1309392
164,female,2010,Corse,158060
165,female,2010,DOM,966122
166,female,2010,France métropolitaine,32367285
167,female,2010,France métropolitaine et DOM,33333407
168,female,2010,Grand Est,2833556
169,female,2010,Guadeloupe ,215443
170,female,2010,Guyane,115433
171,female,2010,Hauts-de-France,3068615
172,female,2010,La Réunion,423183
173,female,2010,Martinique ,212063
174,female,2010,Normandie,1709416
175,female,2010,Nouvelle-Aquitaine,2975860
176,female,2010,Occitanie,2850081
177,female,2010,Pays de la Loire,1831631
178,female,2010,Provence-Alpes-Côte d'Azur,2558518
179,female,2010,Île-de-France,6095000
180,female,2011,Auvergne-Rhône-Alpes,3918091
181,female,2011,Bourgogne-Franche-Comté,1443338
182,female,2011,Bretagne,1654426
183,female,2011,Centre-Val-de-Loire,1314777
184,female,2011,Corse,160411
185,female,2011,DOM,975727
186,female,2011,France métropolitaine,32516716
187,female,2011,France métropolitaine et DOM,33492443
188,female,2011,Grand Est,2836000
189,female,2011,Guadeloupe ,216853
190,female,2011,Guyane,119817
191,female,2011,Hauts-de-France,3071935
192,female,2011,La Réunion,427442
193,female,2011,Martinique ,211615
194,female,2011,Normandie,1711157
195,female,2011,Nouvelle-Aquitaine,2989208
196,female,2011,Occitanie,2877698
197,female,2011,Pays de la Loire,1846959
198,female,2011,Provence-Alpes-Côte d'Azur,2565356
199,female,2011,Île-de-France,6127360
200,female,2012,Auvergne-Rhône-Alpes,3949721
201,female,2012,Bourgogne-Franche-Comté,1443788
202,female,2012,Bretagne,1664000
203,female,2012,Centre-Val-de-Loire,1318752
204,female,2012,Corse,161489
205,female,2012,DOM,976366
206,female,2012,France métropolitaine,32676801
207,female,2012,France métropolitaine et DOM,33653167
208,female,2012,Grand Est,2842369
209,female,2012,Guadeloupe ,216276
210,female,2012,Guyane,120110
211,female,2012,Hauts-de-France,3077851
212,female,2012,La Réunion,430440
213,female,2012,Martinique ,209540
214,female,2012,Normandie,1715247
215,female,2012,Nouvelle-Aquitaine,3008273
216,female,2012,Occitanie,2905680
217,female,2012,Pays de la Loire,1862837
218,female,2012,Provence-Alpes-Côte d'Azur,2574954
219,female,2012,Île-de-France,6151840
220,female,2013,Auvergne-Rhône-Alpes,3980262
221,female,2013,Bourgogne-Franche-Comté,1445166
222,female,2013,Bretagne,1674635
223,female,2013,Centre-Val-de-Loire,1322372
224,female,2013,Corse,163943
225,female,2013,DOM,977475
226,female,2013,France métropolitaine,32831856
227,female,2013,France métropolitaine et DOM,33809331
228,female,2013,Grand Est,2843644
229,female,2013,Guadeloupe ,216042
230,female,2013,Guyane,122465
231,female,2013,Hauts-de-France,3084992
232,female,2013,La Réunion,431372
233,female,2013,Martinique ,207596
234,female,2013,Normandie,1717327
235,female,2013,Nouvelle-Aquitaine,3024648
236,female,2013,Occitanie,2935610
237,female,2013,Pays de la Loire,1876476
238,female,2013,Provence-Alpes-Côte d'Azur,2582311
239,female,2013,Île-de-France,6180470
240,female,2014,Auvergne-Rhône-Alpes,4013621
241,female,2014,Bourgogne-Franche-Comté,1445376
242,female,2014,Bretagne,1683733
243,female,2014,Centre-Val-de-Loire,1326187
244,female,2014,Corse,166250
245,female,2014,DOM,1099712
246,female,2014,France métropolitaine,33003034
247,female,2014,France métropolitaine et DOM,34102746
248,female,2014,Grand Est,2844987
249,female,2014,Guadeloupe ,215514
250,female,2014,Guyane,127149
251,female,2014,Hauts-de-France,3092052
252,female,2014,La Réunion,435460
253,female,2014,Martinique ,206409
254,female,2014,Mayotte,115180
255,female,2014,Normandie,1720922
256,female,2014,Nouvelle-Aquitaine,3042814
257,female,2014,Occitanie,2960288
258,female,2014,Pays de la Loire,1892246
259,female,2014,Provence-Alpes-Côte d'Azur,2597181
260,female,2014,Île-de-France,6217377
261,female,2015,Auvergne-Rhône-Alpes,4044717
262,female,2015,Bourgogne-Franche-Comté,1446494
263,female,2015,Bretagne,1692643
264,female,2015,Centre-Val-de-Loire,1327505
265,female,2015,Corse,167857
266,female,2015,DOM,1112051
267,female,2015,France métropolitaine,33153435
268,female,2015,France métropolitaine et DOM,34265486
269,female,2015,Grand Est,2848175
270,female,2015,Guadeloupe ,214780
271,female,2015,Guyane,130983
272,female,2015,Hauts-de-France,3095770
273,female,2015,La Réunion,439965
274,female,2015,Martinique ,204800
275,female,2015,Mayotte,121523
276,female,2015,Normandie,1723173
277,female,2015,Nouvelle-Aquitaine,3060995
278,female,2015,Occitanie,2982270
279,female,2015,Pays de la Loire,1907029
280,female,2015,Provence-Alpes-Côte d'Azur,2609626
281,female,2015,Île-de-France,6247181
282,female,2016,Auvergne-Rhône-Alpes,4065649
283,female,2016,Bourgogne-Franche-Comté,1445546
284,female,2016,Bretagne,1700535
285,female,2016,Centre-Val-de-Loire,1327678
286,female,2016,Corse,169656
287,female,2016,DOM,1119968
288,female,2016,France métropolitaine,33252590
289,female,2016,France métropolitaine et DOM,34372558
290,female,2016,Grand Est,2846662
291,female,2016,Guadeloupe ,212786
292,female,2016,Guyane,135693
293,female,2016,Hauts-de-France,3094438
294,female,2016,La Réunion,442366
295,female,2016,Martinique ,202995
296,female,2016,Mayotte,126128
297,female,2016,Normandie,1722621
298,female,2016,Nouvelle-Aquitaine,3075417
299,female,2016,Occitanie,3000686
300,female,2016,Pays de la Loire,1917199
301,female,2016,Provence-Alpes-Côte d'Azur,2618456
302,female,2016,Île-de-France,6268047
303,female,2017,Auvergne-Rhône-Alpes,4083594
304,female,2017,Bourgogne-Franche-Comté,1442698
305,female,2017,Bretagne,1706478
306,female,2017,Centre-Val-de-Loire,1327335
307,female,2017,Corse,172002
308,female,2017,DOM,1124918
309,female,2017,France métropolitaine,33352304
310,female,2017,France métropolitaine et DOM,34477222
311,female,2017,Grand Est,2843868
312,female,2017,Guadeloupe ,211248
313,female,2017,Guyane,136684
314,female,2017,Hauts-de-France,3093238
315,female,2017,La Réunion,444702
316,female,2017,Martinique ,201360
317,female,2017,Mayotte,130924
318,female,2017,Normandie,1720437
319,female,2017,Nouvelle-Aquitaine,3088150
320,female,2017,Occitanie,3021366
321,female,2017,Pays de la Loire,1927923
322,female,2017,Provence-Alpes-Côte d'Azur,2624900
323,female,2017,Île-de-France,6300315
